"MODEL","SCENARIO","REGION","VARIABLE","UNIT",2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Geothermal","EJ/yr",0.0598,0.0652,0.0794,0.0968,0.118,0.1439,0.1754,0.2055,0.2287,0.2452,0.2548
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Hydro","EJ/yr",2.2031,2.9748999999999994,4.8903,6.9813,7.1863,6.5936,6.6843,6.742400000000001,6.6690000000000005,6.4552000000000005,6.2033000000000005
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Non-Biomass Renewables","EJ/yr",2.2921,3.0897,5.2032,22.647300000000005,44.1411,57.0311,68.1187,69.6176,68.2436,64.0685,59.779
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Nuclear","EJ/yr",0.9199,1.3599999999999999,3.2693,7.357099999999999,8.6844,7.0116,7.103299999999999,7.104100000000001,6.5461,5.6019000000000005,4.7458
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Oil","EJ/yr",31.1433,35.405199999999994,43.4206,38.922200000000004,27.4985,19.966,10.5745,6.9807,4.8212,4.0976,3.1262
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Oil|w/ CCS","EJ/yr",0.0,0.0,0.0,0.45589999999999997,4.2432,7.136699999999999,4.3088999999999995,2.7437,1.7651,1.4805000000000001,1.0695999999999999
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Oil|w/o CCS","EJ/yr",31.1433,35.405199999999994,43.4206,38.4663,23.255499999999998,12.8295,6.2657,4.2371,3.0561,2.6171,2.0568
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Secondary Energy Trade","EJ/yr",-3.0776000000000003,-3.728999999999999,-4.990799999999999,-5.6452,-7.8059,-9.2612,-10.2086,-10.1742,-9.5982,-8.7145,-7.830500000000001
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Solar","EJ/yr",6.000000000000001E-4,0.0018,0.019999999999999997,2.5091,8.465499999999999,15.9503,21.7553,23.791600000000003,24.477899999999998,23.7218,22.689000000000004
"AIM/CGE","SSP1-19","R5.2ASIA","Primary Energy|Wind","EJ/yr",0.0287,0.047799999999999995,0.2135,13.0602,28.3714,34.3433,39.5036,38.878099999999996,36.868,33.6464,30.6319
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity","EJ/yr",15.8804,20.403,30.580900000000003,41.97749999999999,61.677899999999994,73.7663,82.7097,84.03359999999999,81.5673,76.5856,71.1563
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity|Biomass","EJ/yr",0.058499999999999996,0.0613,0.0708,0.3703,2.0824000000000003,2.7966,4.0026,4.8507,4.9811,5.172000000000001,5.2188
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity|Biomass|w/ CCS","EJ/yr",0.0,0.0,0.0,0.008900000000000002,0.7798999999999999,2.137,3.3175,4.0322000000000005,4.1379,4.2967,4.3355
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity|Biomass|w/o CCS","EJ/yr",0.058499999999999996,0.0613,0.0708,0.3615,1.3024,0.6594,0.6852,0.8183,0.8431,0.8752,0.8834000000000001
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity|Coal","EJ/yr",9.9097,12.6571,17.7765,6.7002,3.4528000000000003,3.7504,1.4256999999999997,0.8473999999999999,0.5312,0.47450000000000003,0.34309999999999996
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity|Coal|w/ CCS","EJ/yr",0.0,0.0,0.0,0.536,1.6227,3.1877999999999997,1.2118,0.7202,0.4515,0.4032,0.29159999999999997
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity|Coal|w/o CCS","EJ/yr",9.9097,12.6571,17.7765,6.1642,1.8300999999999998,0.5626,0.2139,0.1271,0.0797,0.0712,0.0514
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity|Gas","EJ/yr",1.8089,2.1513,2.7963,3.1456,2.2584,2.2366,1.5047,1.2056,0.9587999999999999,0.9672000000000001,0.8223
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity|Gas|w/ CCS","EJ/yr",0.0,0.0,0.0,0.1572,0.9712,1.8564,1.279,1.0247,0.8149,0.8222,0.6990000000000001
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity|Gas|w/o CCS","EJ/yr",1.8089,2.1513,2.7963,2.9882,1.2873,0.3802,0.22560000000000002,0.1807,0.14379999999999998,0.145,0.1233
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity|Geothermal","EJ/yr",0.0598,0.0652,0.0794,0.0968,0.118,0.1439,0.1754,0.2055,0.2287,0.2452,0.2548
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity|Hydro","EJ/yr",2.2031,2.9748999999999994,4.8903,6.9813,7.1863,6.5936,6.6843,6.742400000000001,6.6690000000000005,6.4552000000000005,6.2033000000000005
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",2.2921,3.0897,5.2032,22.647300000000005,44.1411,57.0311,68.1187,69.6176,68.2436,64.0685,59.779
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity|Nuclear","EJ/yr",0.9199,1.3599999999999999,3.2693,7.357099999999999,8.6844,7.0116,7.103299999999999,7.104100000000001,6.5461,5.6019000000000005,4.7458
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity|Oil","EJ/yr",0.8913,1.0836,1.4651,1.7570000000000001,1.0589,0.9400000000000001,0.5549,0.40840000000000004,0.30670000000000003,0.30160000000000003,0.2472
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity|Solar","EJ/yr",6.000000000000001E-4,0.0018,0.019999999999999997,2.5091,8.465499999999999,15.9503,21.7553,23.791600000000003,24.477899999999998,23.7218,22.689000000000004
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Electricity|Wind","EJ/yr",0.0287,0.047799999999999995,0.2135,13.0602,28.3714,34.3433,39.5036,38.878099999999996,36.868,33.6464,30.6319
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Gases","EJ/yr",5.3665,5.942,7.0244,4.4709,2.6999,1.6312,0.7902,0.5324,0.36970000000000003,0.33240000000000003,0.2528
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Gases|Natural Gas","EJ/yr",5.3665,5.942,7.0244,4.4709,2.6999,1.6312,0.7902,0.5324,0.36970000000000003,0.33240000000000003,0.2528
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Heat","EJ/yr",2.4415,3.1485000000000003,4.478,2.4723,1.2321,1.1518,0.4918,0.3241,0.2365,0.2215,0.1845
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Liquids","EJ/yr",31.4995,35.6976,43.7368,38.2483,29.1863,23.429699999999997,15.25,12.1484,10.1861,9.5072,8.425699999999999
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Liquids|Biomass","EJ/yr",0.0,0.0159,0.0678,0.3756,0.9641000000000001,1.4431999999999998,1.6662,1.6993000000000003,1.6887,1.6444,1.5703999999999998
"AIM/CGE","SSP1-19","R5.2ASIA","Secondary Energy|Liquids|Oil","EJ/yr",31.4995,35.6816,43.6689,37.8727,28.2222,21.9865,13.584,10.4492,8.4974,7.8628,6.8553
"AIM/CGE","SSP1-19","R5.2LAM","Agricultural Demand|Crops","million t DM/yr",184.8075,202.4591,237.9691,319.9128,546.9812,627.3346,740.3983000000001,757.3829,707.9223,666.1139000000001,616.5894
"AIM/CGE","SSP1-19","R5.2LAM","Agricultural Demand|Crops|Energy","million t DM/yr",0.0,3.142,13.2502,91.6944,359.24350000000004,455.1253,603.7976,638.8431,596.5971999999999,568.8405,536.9954
"AIM/CGE","SSP1-19","R5.2LAM","Agricultural Demand|Livestock","million t DM/yr",30.429000000000002,32.4875,36.190200000000004,38.8678,40.7993,41.6081,41.3073,40.2243,38.461600000000004,35.980199999999996,32.7492
"AIM/CGE","SSP1-19","R5.2LAM","Agricultural Production|Crops|Energy","million t DM/yr",0.0,0.0,1.5825,14.4503,65.4524,85.0506,116.21209999999999,124.60419999999999,117.0612,111.8137,105.6145
